Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,7800,20000,8000,8100,8100,8100,22300,8000,23600,8000,12200
50,412600,434800,441900,427300,432200,422000,420300,421400,639200,465600,451730
100,3244000,3308900,3257600,3365200,3496100,3379400,3237600,3125500,3347400,3115300,3287700
200,22718800,26130400,36142000,26212400,26992900,26592200,24956500,22742700,31158300,26687300,27033350
300,104826900,90111500,96102500,83896900,83525400,86116800,88382400,87109300,92000200,91419000,90349090
400,183879700,219185900,184556600,209835400,218583000,175427400,181052300,218447000,205406400,227589400,202396310
500,402703000,436475700,424509800,435226600,366233200,362669400,435561100,427620200,374554300,402717300,406827060
600,689908400,708780800,712447900,746773800,711227500,747120400,683924400,713586500,779116900,684777800,717766440
700,1244956300,1106311500,1098208600,1154428800,1162057700,1161434600,1201041200,1094748400,1185415000,1093321000,1150192310
800,1716012300,1662000400,1600897000,1834864400,1829478900,1835179200,1660676200,1685695100,1833269200,1666705200,1732477790
900,2576558800,2560798000,2464027000,2467107300,2411025400,2440164200,2542244200,2470893400,2592120500,2513277000,2503821580
1000,3559246300,3436303100,3791314900,3932301000,3862571700,3878603400,3549711500,3764188700,3770696500,3690761600,3723569870
