Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,1900,2000,2800,2000,1900,1900,1900,1900,1900,1800,2000
50,39300,39300,41500,41900,41600,41600,41800,41900,41700,43000,41360
100,333300,340300,368100,651500,363300,342600,343800,419600,332400,385200,388010
200,3069800,3343800,3158300,3199900,3023800,3194300,3257100,3265600,3123700,3071100,3170740
300,11115000,11449000,11589100,11366400,11100700,11213600,11179300,11150700,11208900,11194700,11256740
400,27046100,26835600,26074400,26381400,25478100,25407900,25359000,25854600,34344400,26530500,26931200
500,49016900,53568900,46542100,50330200,49931100,53195000,53978400,53570000,49905200,58206200,51824400
600,93475500,89194000,89325500,89660900,89391100,89484200,90369500,90274100,88896400,89502200,89957340
700,146455300,144853700,143873200,159001400,154740400,140666600,153476100,141364900,150928000,143163600,147852320
800,211322200,240724800,215603100,218139600,217930700,218788800,216956700,216306800,217458400,216776800,219000790
900,315820200,331586100,306481600,313553400,313939100,307888900,309534100,311708100,315259100,309192600,313496320
1000,432541100,435064700,448534000,427217500,420779800,444390600,430841200,455108800,452451900,435355900,438228550
