Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,1800,1700,1700,1700,1800,2000,1700,1700,1700,1700,1750
50,34800,34700,34900,34800,34700,34900,34700,34600,34700,34900,34770
100,271600,271900,271900,325600,274900,317100,281300,284600,282200,277000,285810
200,2592300,2628200,2539200,2757200,2604700,2658800,2653000,2533500,2628300,2525400,2612060
300,9239100,9435100,9546500,9358800,9096600,9484800,8923900,8898900,8668000,8694300,9134600
400,23449600,25956200,22707700,22364500,21762000,21774700,25451900,23134200,22258600,22239700,23109910
500,44946000,44565700,42212400,42376500,41919500,41701200,41949400,43476000,44720500,43129600,43099680
600,78633200,78290900,75498100,75523900,76929800,75563100,75720200,73678800,72427300,72501600,75476690
700,120242000,120556600,117846800,118053200,118404800,118117500,122469100,119724700,121270500,129241000,120592620
800,182696700,190844800,178933100,186940500,202413100,186043900,181757800,184132800,181356800,181640400,185675990
900,272077000,265118800,272129500,254939200,256523400,255113300,257578800,269033100,262168100,256815800,262149700
1000,361564000,370173100,356556500,367433600,359785500,357760100,354015200,352454900,357690600,354532800,359196630
