Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,1600,1700,1700,1600,1600,1600,1600,1600,1700,1600,1630
50,33900,33800,33800,33900,33700,33700,33800,33900,33800,33800,33810
100,266000,265200,277900,277800,269300,268600,345600,280600,274000,272600,279760
200,2506300,2632900,2493400,2531200,2532500,2511800,2602300,2532600,2597500,2676700,2561720
300,9219800,9078000,9560600,8841600,8852600,8759400,8780000,8593700,8732800,8714700,8913320
400,22181700,22315200,22227700,21337900,21708200,23487900,24933700,24476400,24228900,22687300,22958490
500,45914600,44849100,44069500,43224100,43029300,41603700,43330700,44911800,46222500,44463800,44161910
600,76992700,75677900,76813700,75134800,75960700,76551300,75303100,74076300,72602300,73448700,75256150
700,119707800,117769400,116742300,130667600,118480300,117284600,125150600,119618300,123421000,124907300,121374920
800,180954600,175238200,178826200,181007300,180010600,177125800,179514100,177467700,177478500,182160700,178978370
900,254413100,260087200,257303600,256364700,252930100,254971500,270754400,253180900,254413700,257613200,257203240
1000,359063400,362129700,354204500,348716900,360538600,350777100,364463600,350883800,357722300,361658400,357015830
