Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,7300,6900,6900,6900,7000,7400,7200,6900,7100,6900,7050
50,354000,352200,351600,366700,433400,354900,361700,353300,367800,378800,367440
100,2900800,2737300,2648500,3004100,2654100,2680000,2734500,2923900,2673600,2730300,2768710
200,21151200,21450700,21139300,20775500,20078500,19982600,20232600,20216900,20103300,19954600,20508520
300,72932600,70473500,70469500,69607500,68295500,68563500,71612400,72077500,70187300,69351700,70357100
400,171796200,166049500,174053100,169326200,171168800,166972500,167679700,169267000,166201800,169806500,169232130
500,339531900,330174700,347264800,339596100,348166900,335524400,330140600,340936900,330892900,330235800,337246500
600,578653700,586643200,576616900,578538100,589530200,613006800,580671800,600383700,592488800,583514600,588004780
700,976066500,988767500,946853900,953148800,963205000,1002136800,984334700,963378400,1019655600,965611600,976315880
800,1486069700,1477419800,1402882700,1474413800,1457599800,1496141000,1397728500,1416903300,1459031800,1411654900,1447984530
900,2075732600,2136550900,2007694200,2038745000,2012635500,2031738200,2133491500,2141182700,2181906000,2127285800,2088696240
1000,2962289200,2839918400,2844299900,2867352800,2852314200,2892642500,3169901600,2981389400,2923598400,2885272200,2921897860
