Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,2100,2100,2200,2100,2100,2100,2000,2100,2000,2000,2080
50,45000,43700,43800,42200,45300,42400,55300,88600,99200,43800,54930
100,338900,349300,402100,342800,341000,353700,359600,340600,339300,359900,352720
200,3127400,3022900,3326100,5841800,3214500,3200500,3207800,3158300,3177200,3170900,3444740
300,10812800,12963200,11353200,11023100,10980600,11399900,10847700,10753900,10665300,11026400,11182610
400,27589200,26579400,27054300,26538600,25841900,25860500,25616900,26301600,27425000,26288000,26509540
500,54143500,52712900,52577900,51797800,51328300,51575400,51569800,51907800,51530500,51704600,52084850
750,184027400,200861500,190820000,169645300,183968900,165344600,168656800,187353000,192463000,187528900,183066940
1000,441691400,432951300,428799600,438897800,435790500,437957800,411055700,436058100,441298700,437292000,434179290
1500,1888029800,1849423700,1969567800,1860786000,1936221900,1859284300,1844433000,1884742400,1787580300,1803516900,1868358610
2000,8832484300,9243605900,9150508600,8917563400,8635088800,8989852100,8743819700,8471067400,9252025700,9298930900,8953494680
