Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,1900,1700,1700,1700,1700,1700,1700,1700,1600,1700,1710
50,34100,34000,33900,34000,34000,33900,33900,34000,43800,34200,34980
100,274700,266200,276800,265000,278000,277400,264800,265000,328400,275200,277150
200,2445500,2476700,2438500,2486400,2380300,4059600,2547900,2501600,2532200,2484900,2635360
300,9115300,9300300,8953100,9098100,8989800,8880000,8946200,8881700,8951000,8865400,8998090
400,22240900,21583500,21159500,21182400,20939000,21244500,20845600,21147500,21473000,21257800,21307370
500,43082500,42854300,42892100,42577100,42133700,41724600,41419600,43490300,47719000,45235500,43312870
600,76781400,75093400,75134200,74550600,77102100,74222400,75035700,73576300,73883100,75559400,75093860
700,119304400,117840400,117426400,116467800,116878100,118165200,119692000,118560700,117855600,118309700,118050030
800,181893500,178749200,183056900,179698900,181281100,177595500,176926900,180541100,179897700,176526100,179616690
900,257141100,267841600,257483500,253443200,261472500,266240900,258595200,259275100,264024000,259595600,260511270
1000,357032900,362242200,361392200,355890800,357536500,355543300,356496600,360280400,360842900,353943400,358120120
