Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,5200,5400,5500,5400,5400,5100,5400,5100,5300,5300,5310
50,359800,374100,365500,324400,324300,355600,324600,324400,355100,333500,344130
100,2615400,2729200,2761000,2878600,3178200,3258000,3212200,3388600,3361400,3336800,3071940
200,25805200,26133500,27713900,24784600,24580600,24654700,24968000,25369000,25086800,25054600,25415090
300,95778600,97728200,86525100,83919500,84267300,83706400,83544100,83925200,85364600,84004300,86876330
400,208155000,215652800,224365500,200517300,225294300,201043100,201671500,201039500,200845200,201996700,208058090
500,437314000,448653100,417424300,420436100,386435000,382735200,387862200,396452400,426820100,386517700,409065010
600,730438500,721255400,744730400,715813900,708929600,704216600,720028600,775704400,707951700,801932900,733100200
700,1097897700,1209683700,1111415100,1152916800,1192223800,1217227300,1172606200,1277646400,1163499200,1202695000,1179781120
800,1886046000,1782081900,1737262200,1727122400,1743350600,1844723600,1733065400,1718024500,1729748100,1780937100,1768236180
900,2541522100,2523412900,2503278800,2334863600,2551407500,2548543400,2486302100,2648179300,2556365800,2502720700,2519659620
1000,3512913900,3486912000,3346271500,3541361400,3723686800,3490738300,3321774200,3731964300,3307274100,3316668400,3477956490
