Size,1,2,3,4,5,6,7,8,9,10,Average/ns
10,7500,7400,7700,7500,18300,7800,7600,7400,7300,7500,8600
50,688100,677200,687600,677300,683600,695500,703100,702800,697900,700600,691370
100,5539300,5757100,5624800,5954300,5883600,5557200,6294100,5634500,5514800,5654000,5741370
200,45738500,44310800,47839300,45019500,43708200,44055100,46404200,45227700,48053500,46299200,45665600
300,154636200,169343500,156970800,158491600,159801600,159176800,152369000,169447100,170495100,149479000,160021070
400,372079800,386450200,398104200,362469900,361424400,402664800,392972800,374688900,370077600,377411800,379834440
500,760937900,754415800,780056000,765591100,758883500,804086500,763917500,790509900,754416100,783427100,771624140
600,1336899600,1375211200,1335691700,1296997200,1394611100,1384483000,1333769100,1412021900,1320589800,1346692400,1353696700
700,2172021700,2199470800,2153844300,2194940100,2140725300,2080880700,2222653000,2188419300,2208618900,2056736700,2161831080
800,3306943200,3331837400,3313870400,3258959900,3204039400,3311413100,3333422500,3415905200,3377851900,3455925300,3331016830
900,4841313900,4791900300,4761216100,4751603400,4712605700,4776087300,4834108200,4742373000,4807557400,4881783500,4790054880
1000,6869925400,6728649400,6859282700,6718050700,6697432400,6838460300,6685774500,6978402700,6624123700,6648553400,6764865520
